電線サイズ［mm2］,静電容量［μF］,,漏れ電流［mA］,
5.5,0.250,,33,
,,,,
8,,0.276,,36
,,,,
14,,0.341,,45
,,,,
22,,0.353,,46
38,,0.450,,59
60,,0.457,,60
100,,0.444,,57
150,,0.531,,68
,,,,
200,,0.496,,65
,,,,
250,,0.547,,71
,,,,
325,,0.616,,80
,,,,
400,,0.678,,89
500,,0.635,,83
,,,,
,,,,
4-25 ページの選定表も参考にしてください。,,,,
,,,,
