電圧,"モータ出力
（kW）","適用インバータ形名
（ND定格）",入力側電磁接触器　（注1）,,推奨電線サイズ(mm2)　（注2）,,
,,,"力率改善(AC又はDC)
リアクトル接続",,R/L1、S/L2、T/L3,,Ｕ、Ｖ、Ｗ
,,,,,"力率改善(AC又はDC)
リアクトル接続",,
,,,無,有,無,有,
"200V
クラス",0.4,FR-A820-0.4K(00046),S-T10,S-T10,2,2,2
,0.75,FR-A820-0.75K(00077),S-T10,S-T10,2,2,2
,1.5,FR-A820-1.5K(00105),S-T10,S-T10,2,2,2
,2.2,FR-A820-2.2K(00167),S-T10,S-T10,2,2,2
,3.7,FR-A820-3.7K(00250),S-T21,S-T10,3.5,3.5,3.5
,5.5,FR-A820-5.5K(00340),S-T35,S-T21,5.5,5.5,5.5
,7.5,FR-A820-7.5K(00490),S-T35,S-T35,14,14,8
,11,FR-A820-11K(00630),S-T35,S-T35,14,14,14
,15,FR-A820-15K(00770),S-T50,S-T50,22,22,22
,18.5,FR-A820-18.5K(00930),S-T65,S-T50,38,22,22
,22,FR-A820-22K(01250),S-T100,S-T65,38,38,38
,30,FR-A820-30K(01540),S-T100,S-T100,60,60,60
,37,FR-A820-37K(01870),S-N150,S-N125,80,60,60
,45,FR-A820-45K(02330),S-N180,S-N150,100,100,100
,55,FR-A820-55K(03160),S-N220,S-N180,100,100,100
,75,FR-A820-75K(03800),－,S-N300,－,125,125
,90,FR-A820-90K(04750),－,S-N300,－,150,150
"400V
クラス",0.4,FR-A840-0.4K(00023),S-T10,S-T10,2,2,2
,0.75,FR-A840-0.75K(00038),S-T10,S-T10,2,2,2
,1.5,FR-A840-1.5K(00052),S-T10,S-T10,2,2,2
,2.2,FR-A840-2.2K(00083),S-T10,S-T10,2,2,2
,3.7,FR-A840-3.7K(00126),S-T10,S-T10,2,2,2
,5.5,FR-A840-5.5K(00170),S-T21,S-T12,2,2,2
,7.5,FR-A840-7.5K(00250),S-T21,S-T21,3.5,3.5,3.5
,11,FR-A840-11K(00310),S-T21,S-T21,5.5,5.5,5.5
,15,FR-A840-15K(00380),S-T35,S-T21,8,5.5,5.5
,18.5,FR-A840-18.5K(00470),S-T35,S-T35,14,8,8
,22,FR-A840-22K(00620),S-T35,S-T35,14,14,14
,30,FR-A840-30K(00770),S-T50,S-T50,22,22,22
,37,FR-A840-37K(00930),S-T65,S-T50,22,22,22
,45,FR-A840-45K(01160),S-T100,S-T65,38,38,38
,55,FR-A840-55K(01800),S-T100,S-T100,60,60,60
,75,FR-A840-75K(02160),－,S-T100,－,60,60
,90,FR-A840-90K(02600),－,S-N150,－,60,60
,110,FR-A840-110K(03250),－,S-N180,－,80,80
,132,FR-A840-132K(03610),－,S-N220,－,100,100
,150,FR-A840-160K(04320),－,S-N300,－,125,125
,160,FR-A840-160K(04320),－,S-N300,－,125,125
,185,FR-A840-185K(04810),－,S-N300,－,150,150
,220,FR-A840-220K(05470),－,S-N400,－,2×100,2×100
,250,FR-A840-250K(06100),－,S-N600AB,－,2×100,2×100
,280,FR-A840-280K(06830),－,S-N600AB,－,2×125,2×125
