電圧,"モータ出力
（kW）",適用インバータ形名,入力側電磁接触器　（注1）,,推奨電線サイズ(mm2)　（注2）,,
,,,リアクトル、又はフィルタパック接続,,R/L1、S/L2、T/L3,,Ｕ、Ｖ、Ｗ
,,,,,リアクトル、又はフィルタパック接続,,
,,,無,有,無,有,
"200V
クラス",0.4,FR-F720PJ-0.4K,S-T10,S-T10,2,2,2
,0.75,FR-F720PJ-0.75K,S-T10,S-T10,2,2,2
,1.5,FR-F720PJ-1.5K,S-T10,S-T10,2,2,2
,2.2,FR-F720PJ-2.2K,S-T10,S-T10,2,2,2
,3.7,FR-F720PJ-3.7K,S-T21,S-T10,3.5,3.5,3.5
,5.5,FR-F720PJ-5.5K,S-T35,S-T21,5.5,5.5,5.5
,7.5,FR-F720PJ-7.5K,S-T35,S-T35,14,8,8
,11,FR-F720PJ-11K,S-T35,S-T35,14,14,14
,15,FR-F720PJ-15K,S-T50,S-T50,22,22,22
"400V
クラス",0.4,FR-F740PJ-0.4K,S-T10,S-T10,2,2,2
,0.75,FR-F740PJ-0.75K,S-T10,S-T10,2,2,2
,1.5,FR-F740PJ-1.5K,S-T10,S-T10,2,2,2
,2.2,FR-F740PJ-2.2K,S-T10,S-T10,2,2,2
,3.7,FR-F740PJ-3.7K,S-T10,S-T10,2,2,2
,5.5,FR-F740PJ-5.5K,S-T21,S-T12,3.5,2,2
,7.5,FR-F740PJ-7.5K,S-T21,S-T21,3.5,3.5,3.5
,11,FR-F740PJ-11K,S-T21,S-T21,5.5,5.5,5.5
,15,FR-F740PJ-15K,S-T35,S-T21,8,5.5,5.5
