,19,,22,,30,,37,,45,55,75,110,160,200
,37,,45,,60,,75,,90,110,150,200,300,400
,80,,100,,125,,150,,180,220,300,400,630,800
,80,,93,,120,,150,,180,220,300,400,630,800
,120,,150,,150,,200,,260,260,350,450,660,800
,2a2b,,2a2b,,2a2b,,2a2b,,2a2b,2a2b,2a2b,2a2b,2a2b,2a2b
,MSO-T80,,MSO-T100,,MSO-N125,,MSO-N150,,MSO-N180,MSO-N220,MSO-N300,MSO-N400,－,－
,S-T80,,S-T100,,S-N125,,S-N150,,S-N180,S-N220,S-N300,S-N400,S-N600AB,S-N800AB
"TH-T100
TH-T100KP",,,,,"TH-N120
TH-N120TA
TH-N120KP
TH-N120TAKP",,,,,,,,,
,,,,,,,,,"TH-N220RH
TH-N220RHKP",,,"TH-N400RH
TH-N400RHKP",,"TH-N600
TH-N600KP
(＋CT供給外)"
,,,,,,,,,,,,,,
,12･～･80,,,12･～･100,34･～･125,,34･～･150,,65･～･180,65･～･220,85･～･300,85･～･400,,200･～･800
,,,,,,,,,,AC操作・DC励磁,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,内蔵,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
