"コンデンサ容量
kvar",分岐回路用遮断器の定格電流　 A,,,,,
,合計バンク数,,,,,
,リアクトル　 6％,,,,,
,,,,,5,6
,"1 1
5","2 1
5","3 1
5","4 1
5",15,15
"5 1
0",20,20,20,20,20,30
15,30,30,30,30,30,40
20,40,40,40,40,40,50
25,50,50,50,50,50,60
30,60,60,60,60,60,75
40,100,100,100,100,100,100
50,100,100,100,100,100,125
75,150,150,150,150,150,175
100,200,200,200,200,200,250
150,300,300,300,300,300,350
200,400,400,400,400,400,500
250,500,500,500,500,500,600
300,600,600,600,600,600,700
400,800,800,800,800,800,900
500,1000,1000,1000,1000,1000,1200
600,1200,1200,1200,1200,1200,1400
750,1500,1500,1500,1500,1500,1800
