"コンデンサ容量
kvar",分岐回路用遮断器の定格電流　 A,,,,,
,合計バンク数,,,,,
,リアクトル　 6％,,,,,
,1,2,3,4,5,
5,20,20,20,20,20,"6 2
0"
10,40,40,40,40,40,40
15,60,60,60,60,60,60
20,75,75,75,75,75,100
25,100,100,100,100,100,100
30,125,125,125,125,125,125
40,150,150,150,150,150,175
50,175,175,175,175,175,200
75,300,300,300,300,300,300
100,350,350,350,350,350,400
150,600,600,600,600,600,600
200,700,700,700,700,700,800
250,900,900,900,900,900,1000
300,1200,1200,1200,1200,1200,1200
400,1400,1400,1400,1400,1400,1600
500,1800,1800,1800,1800,1800,2000
600,2500,2500,2500,2500,2500,2500
750,2800,2800,2800,2800,2800,2800
