"コンデンサ容量
kvar",分岐回路用遮断器の定格電流　 A,,,,,
,合計バンク数,,,,,
,リアクトル　 6％,,,,,
,1,2,3,4,5,
5,40,40,40,40,40,"6 5
0"
10,75,75,75,75,75,100
15,125,125,125,125,125,125
20,150,150,150,150,150,175
25,200,200,200,200,200,225
30,225,225,225,225,225,250
40,300,300,300,300,300,350
50,400,400,400,400,400,500
75,600,600,600,600,600,600
100,800,800,800,800,800,800
150,1200,1200,1200,1200,1200,1200
200,1500,1500,1500,1500,1500,1600
250,1800,1800,1800,1800,1800,2000
300,2500,2500,2500,2500,2500,2500
400,3000,3000,3000,3000,3000,3000
500,,,,,,
600,− − −,− − −,− − −,− − −,− − −,− − −
750,,,,,,
